"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nif3l1",2.55508876987422e-47,0.819222115427929,0.385,0.187,6.49554667077424e-43
"Prdx5",2.63696528519727e-47,0.261391554415453,0.485,0.236,6.7036931480285e-43
"2310039L15Rik",2.89380032525759e-47,0.994037021934332,0.139,0.011,7.35661918686986e-43
"Elovl4",5.55872394118967e-47,0.284501964397405,0.417,0.189,1.41313880032924e-42
"Psmb2",6.49326107985818e-47,0.320076054089958,0.75,0.498,1.65071683172155e-42
"Rpl28",1.05783934492753e-46,0.255629394333058,0.462,0.219,2.68923918267477e-42
"Gm3294",1.33394465234411e-46,0.29259633034256,0.553,0.301,3.39115409518919e-42
"Gsdme",1.42665068742484e-46,0.477669466063113,0.784,0.567,3.62683137757142e-42
"Pcsk5",1.47349830614028e-46,0.801352842037672,0.554,0.335,3.74592739386983e-42
"Gm15414",2.9600012015072e-46,0.398473782954171,0.718,0.498,7.52491505447161e-42
"Kcnip3",3.103929649658e-46,0.37990873399332,0.92,0.728,7.89080995536057e-42
"Ptma",4.86433281988954e-46,0.368465546310368,0.667,0.423,1.23661068947232e-41
"Gpc4",5.55748211709111e-46,0.286854562156179,0.267,0.087,1.4128231038069e-41
"Naa25",6.12411394599883e-46,0.25084513112975,0.585,0.331,1.55687224735182e-41
"Pip5k1c",8.00119218938875e-46,0.295604959622166,0.743,0.497,2.03406307838641e-41
"2510009E07Rik",1.0517538518059e-45,0.271229331717036,0.52,0.279,2.67376864206097e-41
"Camk2b",1.12319528458671e-45,0.346766324979992,0.92,0.795,2.85538705247633e-41
"Atp5b",1.30595681766062e-45,0.325287919449764,0.679,0.44,3.32000342185684e-41
"Map1b",1.34822911115137e-45,0.324073977573955,0.993,0.96,3.42746804636902e-41
"Rpl37",1.47330209136695e-45,0.275651682593752,0.511,0.258,3.74542857667306e-41
"Disp3",1.47901889107829e-45,0.264897402094227,0.352,0.146,3.75996182489922e-41
"Adra1a",1.60398499591553e-45,0.363530508798812,0.338,0.138,4.07765065661646e-41
"Cltc",1.89124267004439e-45,0.428173546160501,0.881,0.706,4.80791711578684e-41
"Myocd",3.23073098250818e-45,0.264835715296299,0.177,0.032,8.21316430373229e-41
"Xrcc6",4.0574124995377e-45,0.372993145555696,0.803,0.603,1.03147540563247e-40
"9530059O14Rik",4.23210573908637e-45,0.570791792934459,0.911,0.824,1.07588592099054e-40
"Gm11817",4.61775357630646e-45,0.289491312909433,0.469,0.237,1.17392531416863e-40
"Wdr95",6.23970815540576e-45,0.256352189123094,0.299,0.108,1.58625860726725e-40
"Rbbp7",6.72957861795575e-45,0.275691229623062,0.607,0.347,1.71079347625671e-40
"Suclg1",8.59616091370179e-45,0.28290671791747,0.568,0.318,2.18531602748127e-40
"6530409C15Rik",9.10269938220504e-45,0.335910077016463,0.674,0.442,2.31408823694416e-40
"Desi1",1.00212285752535e-44,0.312659025226635,0.701,0.462,2.54759672840094e-40
"Zdhhc18",1.25653892165187e-44,0.269845266343966,0.466,0.232,3.19437324662339e-40
"Zfp532",3.35576429327954e-44,0.395446182577092,0.788,0.602,8.53102398637524e-40
"Qk",3.42317720089435e-44,0.383055330934775,0.809,0.591,8.70240108011362e-40
"Sulf1",4.31563729122921e-44,0.531457995885082,0.429,0.21,1.09712131217629e-39
"Serf2",5.42415404275014e-44,0.291168885081089,0.567,0.323,1.37892844074794e-39
"Stxbp1",6.57207750496105e-44,0.308078089996748,0.956,0.848,1.6707535433112e-39
"Rras2",6.79817600947636e-44,0.516123915830084,0.604,0.425,1.72823230512908e-39
"Cdh22",7.30045086556674e-44,0.288928913957173,0.558,0.314,1.85592061904438e-39
"Atf4",1.004272698331e-43,0.279131524507695,0.452,0.226,2.55306205369707e-39
"Ntrk3",1.83195072169531e-43,0.770723524237411,0.897,0.876,4.65718512469381e-39
"Sh2d5",2.15807177492988e-43,0.256802709437871,0.529,0.291,5.48625006622674e-39
"Gm14636",2.44904651277837e-43,0.307182771829129,0.482,0.255,6.22596604478518e-39
"Elk3",2.53622827242382e-43,0.274894008104521,0.456,0.229,6.44759951415582e-39
"Prkg2",2.65096264906416e-43,0.377136026579628,0.392,0.186,6.7392772464509e-39
"Prkar1a",3.12425267437624e-43,0.298024312040085,0.825,0.606,7.94247514879927e-39
"Srgap1",5.00571965818503e-43,0.431159964243898,0.345,0.155,1.2725540515038e-38
"Fzd3",5.65311410894706e-43,0.387306778701728,0.711,0.502,1.43713466877652e-38
"Rac1",6.38816482738051e-43,0.258616043285314,0.599,0.346,1.62399926241667e-38
"Ldlrad4",8.93122478305099e-43,0.381058121932635,0.972,0.936,2.27049596434722e-38
"Cped1",1.46195423250071e-42,0.315307565629054,0.194,0.047,3.7165800498633e-38
"Usp28",1.51511151292345e-42,0.34830576395707,0.583,0.364,3.85171648815399e-38
"4930532I03Rik",1.67252486601979e-42,0.301952965103472,0.548,0.32,4.25189271439551e-38
"Gm20713",1.81479672619119e-42,0.318397800646162,0.216,0.06,4.61357623732324e-38
"Kcnq1ot1",1.81562482433626e-42,0.33140702016169,0.975,0.932,4.61568142842763e-38
"Samd4",1.87489456521431e-42,0.373229617478823,0.629,0.401,4.76635696368782e-38
"Mal2",1.87728084526935e-42,0.322504514424584,0.578,0.346,4.77242336484374e-38
"Nwd1",2.28676733245361e-42,0.396155764064567,0.227,0.069,5.81341991256357e-38
"Reln",3.44203525998607e-42,0.754197851396429,0.331,0.144,8.75034203793659e-38
"Mosmo",3.6194835913775e-42,0.301570911312119,0.633,0.387,9.20145118599987e-38
"Nrep",3.64277332208071e-42,0.301734345665606,0.274,0.101,9.26065833939357e-38
"Tnnc1",4.27529617812902e-42,0.253113937745705,0.175,0.036,1.08686579440396e-37
"Serbp1",4.33669314068078e-42,0.294057647173281,0.771,0.538,1.10247413022387e-37
"Ugdh",4.528932063931e-42,0.414617785633983,0.392,0.189,1.15134510929254e-37
"Rtn4",4.58189497096044e-42,0.312957779538972,0.955,0.88,1.16480933951756e-37
