"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fhod3",3.8703998338187e-87,0.646233891444333,0.859,0.756,9.83933045753389e-83
"Eif4g3",4.24485503892077e-87,0.364747096365165,0.974,0.926,1.07912704799444e-82
"Bc1",6.77392723010865e-87,0.378443157901947,0.436,0.154,1.72206778043822e-82
"Mfap3l",7.04238791316928e-87,0.404412755862181,0.536,0.244,1.79031585528589e-82
"0610010F05Rik",8.91538533651168e-87,0.459790241989771,0.803,0.59,2.266469260248e-82
"Pmepa1",1.24403735267886e-86,0.431108450749388,0.585,0.298,3.16259175798021e-82
"Chst11",3.15630742400518e-86,0.54167356960412,0.629,0.357,8.02396473330598e-82
"1600020E01Rik",7.06634532663757e-86,0.480118552998757,0.578,0.299,1.7964063089378e-81
"Fbln2",1.55656483313961e-85,0.376387996173861,0.309,0.064,3.95709911880751e-81
"Rev3l",1.63869454762844e-85,0.438678923866836,0.889,0.728,4.16588927898102e-81
"Igsf9",1.7635972081769e-85,0.292249208898634,0.245,0.025,4.48341682262732e-81
"Megf6",2.00574907949217e-85,0.302849750960417,0.208,0.006,5.099015309885e-81
"Smg6",3.75938648440591e-85,0.449863379121182,0.914,0.796,9.55711232065669e-81
"Slc26a10",4.32850030756702e-85,0.480579359961545,0.339,0.091,1.10039134818969e-80
"Medag",1.25576778755936e-84,0.431772951059987,0.325,0.08,3.1924128695334e-80
"Sh3bp1",2.34921733058744e-84,0.322277998000017,0.38,0.115,5.97218029781939e-80
"Fndc3b",3.62574917220881e-84,0.477783217943292,0.734,0.486,9.21737954558925e-80
"Med15",3.84617669198819e-84,0.426899215913819,0.726,0.481,9.77775038637238e-80
"5031439G07Rik",3.93557368533162e-84,0.453216485091694,0.723,0.472,1.000501542285e-79
"Grm7",1.54596180398102e-83,0.525851357495787,0.997,0.991,3.93014409808055e-79
"Tmem94",1.74623023996738e-83,0.328160937034691,0.395,0.129,4.43926651604508e-79
"Gm26843",1.77159428303821e-83,0.306249327637081,0.258,0.037,4.50374698633975e-79
"Lynx1",2.13527175154428e-83,0.425031443889107,0.564,0.273,5.42828784677588e-79
"Tgfb1i1",3.28251064776971e-83,0.301131978585339,0.31,0.07,8.34479856876015e-79
"Csmd1",6.27573488777798e-83,0.267798470289205,1,0.999,1.59541732317092e-78
"Ehd3",2.15965290009644e-82,0.351563471370413,0.412,0.146,5.49026960262518e-78
"Psen1",8.2714962230233e-82,0.444771141992564,0.65,0.383,2.10277976981698e-77
"Dtx1",8.50679248958228e-82,0.3757075814716,0.475,0.199,2.16259678670161e-77
"Rbfox3",1.06754478104609e-81,0.412273316145612,0.984,0.954,2.71391234237538e-77
"Pum2",1.06904088866596e-81,0.447626745998263,0.845,0.667,2.7177157471666e-77
"Dot1l",1.44740087631811e-81,0.443971980512221,0.798,0.593,3.6795825077759e-77
"Gpr176",1.53076122685707e-81,0.524871324085728,0.375,0.124,3.89150119091605e-77
"Entpd7",1.72686683243816e-81,0.410641638765331,0.543,0.271,4.3900408614243e-77
"Tenm4",5.37351311476701e-81,0.569444905888211,0.97,0.974,1.36605450403607e-76
"Slc16a1",6.8755782059785e-81,0.308621712834748,0.347,0.096,1.74790949152385e-76
"Cabin1",8.60182673966835e-81,0.423612961073729,0.808,0.599,2.18675639375849e-76
"Drc3",9.68572708023005e-81,0.410369726726203,0.436,0.173,2.46230553833608e-76
"Etl4",1.04967274161501e-80,0.556964153136218,0.985,0.93,2.66847804373368e-76
"Prpf38b",4.80947440605372e-80,0.425347211974552,0.666,0.412,1.22266458350698e-75
"Snap91",5.12590942466497e-80,0.389311640502098,0.962,0.916,1.30310869393833e-75
"Anp32a",8.39376929595789e-80,0.40382757398936,0.668,0.392,2.13386403041841e-75
"Myh9",1.64734454045485e-79,0.412629705059347,0.633,0.359,4.18787929074432e-75
"Paqr8",3.29010969352e-79,0.349116149610825,0.429,0.161,8.36411686286654e-75
"Eef2k",4.04976435455834e-79,0.456189816588139,0.661,0.4,1.02953109421582e-74
"Glra1",7.74323279683196e-79,0.295561785156624,0.207,0.012,1.96848464161062e-74
"Tmem40",2.13867806209776e-78,0.263474937059484,0.202,0.011,5.43694736946493e-74
"Stxbp3",2.51097227623492e-78,0.33787308909634,0.377,0.127,6.38339372064441e-74
"Edil3",1.00718320978039e-77,0.496557427918276,0.926,0.79,2.5604611559037e-73
"Btbd9",6.30322035638583e-77,0.44302102015152,0.95,0.882,1.60240467900041e-72
"Ednrb",6.80002974387851e-77,0.263513093600038,0.198,0.009,1.72870356148879e-72
"Cntn3",8.17504149760431e-77,0.52886398261532,0.95,0.858,2.07825904952097e-72
"Zfpm1",9.33049190264966e-77,0.297052647088075,0.321,0.085,2.3719976514916e-72
"Tspan2",1.13754498361437e-76,0.287556200776982,0.233,0.029,2.89186685734444e-72
"Erc1",2.12934350391794e-76,0.392308942584514,0.909,0.784,5.41321705566019e-72
"Tpm1",5.97872344091145e-76,0.393186936897561,0.723,0.466,1.51991107314851e-71
"Fhad1",8.43550456322017e-76,0.303471712696178,0.293,0.067,2.14447397006183e-71
"Fstl5",1.54492870413503e-75,0.482410201023575,0.567,0.297,3.92751775165209e-71
"Plekha2",2.36582862721693e-75,0.339616964869343,0.284,0.064,6.01440953611087e-71
"Rundc3b",4.2622404548918e-75,0.430827538317962,0.808,0.603,1.08354676844259e-70
"Reep1",6.8506040003328e-75,0.423170245133416,0.883,0.71,1.7415605489646e-70
"Wipf3",8.99047585525721e-75,0.493781291290185,0.698,0.455,2.28555877192349e-70
"Fam129b",9.3629784580867e-75,0.361260953329443,0.427,0.175,2.3802563836148e-70
"Bcat1",1.0065902124395e-74,0.355398866009451,0.428,0.172,2.5589536380637e-70
"Scarb1",1.16198588787388e-74,0.368361613450863,0.519,0.248,2.95400052415299e-70
"Nos1ap",1.81848632071291e-74,0.510432200685139,0.935,0.836,4.62295592451637e-70
